"File","Line","Secret","Reference"
".github\workflows\assign-pr-reviewers.yml","65","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\assign-pr-reviewers.yml","83","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\assign-pr-reviewers.yml","96","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\assign-pr-reviewers.yml","109","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\assign-pr-reviewers.yml","122","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\autonomous-issue-triage.yml","31","GITHUB_TOKEN","GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\ci-validate.yml","319","PLAYWRIGHT_STORAGE_STATE_B64","PLAYWRIGHT_STORAGE_STATE_B64: ${{ secrets.PLAYWRIGHT_STORAGE_STATE_B64 }}"
".github\workflows\cost-monitoring.yml","242","SLACK_WEBHOOK","webhook-url: ${{ secrets.SLACK_WEBHOOK }}"
".github\workflows\deploy.yml","131","SLACK_WEBHOOK_URL","SLACK_WEBHOOK_URL: ${{ secrets.SLACK_WEBHOOK_URL }}"
".github\workflows\deploy.yml","182","SLACK_WEBHOOK_URL","SLACK_WEBHOOK_URL: ${{ secrets.SLACK_WEBHOOK_URL }}"
".github\workflows\e2e-authenticated-failover-continuity.yml","36","PLAYWRIGHT_STORAGE_STATE_B64","PLAYWRIGHT_STORAGE_STATE_B64: ${{ secrets.PLAYWRIGHT_STORAGE_STATE_B64 }}"
".github\workflows\error-triage-weekly-report.yml","25","GITHUB_TOKEN","GH_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\error-triage-weekly-report.yml","38","GITHUB_TOKEN","GH_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\error-triage.yml","49","LOKI_ENDPOINT","export LOKI_ENDPOINT=""${{ secrets.LOKI_ENDPOINT || 'http://loki:3100' }}"""
".github\workflows\error-triage.yml","50","PROMETHEUS_ENDPOINT","export PROMETHEUS_ENDPOINT=""${{ secrets.PROMETHEUS_ENDPOINT || 'http://prometheus:9090' }}"""
".github\workflows\error-triage.yml","53","GITHUB_TOKEN","export GITHUB_TOKEN=""${{ secrets.GITHUB_TOKEN }}"""
".github\workflows\error-triage.yml","107","LOKI_ENDPOINT","LOKI_ENDPOINT=""${{ secrets.LOKI_ENDPOINT || 'http://localhost:3100' }}"""
".github\workflows\error-triage.yml","142","PROMETHEUS_ENDPOINT","PROMETHEUS_ENDPOINT=""${{ secrets.PROMETHEUS_ENDPOINT || 'http://localhost:9090' }}"""
".github\workflows\error-triage.yml","184","GITHUB_TOKEN","GH_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\error-triage.yml","302","GITHUB_TOKEN","GH_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\golden-rule-enforce-redeploy.yml","265","SLACK_WEBHOOK_URL","SLACK_WEBHOOK_URL: ${{ secrets.SLACK_WEBHOOK_URL }}"
".github\workflows\golden-rule-enforce-redeploy.yml","286","SLACK_WEBHOOK_URL","SLACK_WEBHOOK_URL: ${{ secrets.SLACK_WEBHOOK_URL }}"
".github\workflows\governance-enforcement.yml","84","GOVERNANCE_P0_WAIVER_TOKEN","GOVERNANCE_P0_WAIVER_TOKEN: ${{ secrets.GOVERNANCE_P0_WAIVER_TOKEN }}"
".github\workflows\governance-waiver-audit.yml","25","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\org-governance-drift-scan.yml","32","ORG_GOVERNANCE_TOKEN","ORG_GOV_TOKEN: ${{ secrets.ORG_GOVERNANCE_TOKEN }}"
".github\workflows\org-governance-drift-scan.yml","33","ORG_GOVERNANCE_TOKEN","GH_TOKEN: ${{ secrets.ORG_GOVERNANCE_TOKEN }}"
".github\workflows\org-governance-drift-scan.yml","45","ORG_GOVERNANCE_TOKEN","GH_TOKEN: ${{ secrets.ORG_GOVERNANCE_TOKEN }}"
